Title,Image,Article Text,Date,Author,URL
Shooting suspect arrested in Glenwood Springs; one person suffers gunshot wound,[]," One person was taken to the hospital with a gunshot wound after multiple law enforcement agencies responded to an active shooter situation in Glenwood Springs on Thursday morning, a Garfield County Sheriff’s Office news release states.The Glenwood Springs Police Department responded to multiple shots fired at a residence near the intersection of 10th Street and Riverview Drive shortly before 11 a.m.A female was also able to exit the residence and is safe with law enforcement, the release states.Other responding agencies included the Colorado State Patrol, the Garfield County Sheriff’s Office, surrounding police departments and the Glenwood Springs Fire Department. The Garfield County All Hazards team responded with a Bear Cat armored vehicle while Eagle County also provided a defense vehicle, the release states.The Garfield County District Attorney’s Office was also on scene.After more than an hour, negotiators with the Glenwood Springs Police Department and Garfield County Sheriff’s Office talked the suspect out of the residence around 12:41 p.m., the release states. The suspect was taken into custody and officers are currently in the process of clearing the residence and assuring that no other threats are present.",14.07.2022,Staff Report,https://www.aspentimes.com/news/shooting-suspect-arrested-in-glenwood-springs-one-person-suffers-gunshot-wound/
Community briefs: Remembrance set for former Sheriff Bob Braudis,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2016/08/AT_AT200610107070049AR.jpg'],"A remembrance of Sheriff Bob Braudis will be held at 5 p.m. Aug. 27 at the Benedict Music Tent, 960 North Third St. in Aspen. This is a community remembrance, and all are welcome.The city of Aspen will host a project update for the early childhood education center project planned for Phase 3 of Burlingame from 5-7 p.m. Wednesday at the Burlingame Commons Building, 124 Forge Road, Aspen.The open house format will include project design schemes, traffic overview, housing considerations, community feedback heard so far, and the design team will gather additional feedback. There will also be kids’ activities and ice cream.More on the project at Former city of Aspen and Aspen Skiing Co. employee Ryland French has joined the Community Office for Resource Efficiency (CORE) as its first senior director of regional climate strategy.“The addition of French to the CORE team marks the next major step in the organization’s commitment to accelerate climate action in the Roaring Fork Valley,” a release states.CORE established the new position in direct response to the growing urgency of the climate crisis, the release states.Through his work with the city of Aspen and more recently for Aspen Skiing Co., French designed and managed high-impact projects like the Aspen Energy Challenge and employee housing Hub at Willits.“The valley is having a moment, and the communities are saying we need to do more,” French said in the release. “We want to have a bigger impact and we need it faster, and I’m really excited about that moment.”CORE is also wrapping its search for a new CEO and is moving to a more centralized location to better serve the Roaring Fork Valley, the release also states.",13.07.2022,,https://www.aspentimes.com/news/community-briefs-8/
Airlines balk at county leases’ better service clause,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2020/04/bizcover-atd-102119-1-1024x684.jpg'],"Commercial airlines are poised to lock into separate three-year leases with Aspen-Pitkin County Airport but without one clause in their agreements suggesting they speed up their service. The lease agreements for American, Delta and United will go before the Pitkin County Board of Commissioners for final approval Wednesday, but absent from their contractual language is one line the airlines rejected: “Airline shall endeavor to provide sufficient personnel and staffing levels so as to not cause undue flight delays/cancellations.”“It wasn’t a mandate,” airport director Dan Bartholomew said Monday. “It was more written as ‘please’ do something. … We knew it was a bit of a reach to get them to sign something very prescriptive. This was an attempt to at least try.”In a memo to the BOCC in advance of this week’s vote on the three leases, Bartholomew wrote the airport will “continue to actively work with its airline partners to strive for operational efficiencies and enhanced customer experiences.”American, Delta and United all served Aspen last ski season — Delta is taking this summer off — and were plagued by travel delays. Roughly one-third, or 32.4%, of incoming commercial flights to Aspen were delayed from January through April, according to the Bureau of Transportation Statistics. During that period, 54.8% of the flights arrived on time. The remaining flights —  12.8% — were cancelled. All told, the first four months saw 1,612 commercial flights arrive on time, 953 run late and 260 cancelled, according to the BTS.“This past winter was especially bad,” said Basalt-based air travel consultant Bill Tomcich, noting large amounts of snowfall and a staff shortage at SkyWest, the feeder airline for American and United, as the primary culprits for the delays. The summer, however, is trending differently, Tomcich said Monday.“At least with the month of June and the first 11 days of July, the reliability with a thick schedule has been excellent,” he said. “Both American and United are close to 98% completion rates. That’s really good, but it’s not perfect.”On-time arrival data was available through April from the BTS.Travelers also have experienced delays after touching down in Aspen, said Bartholomew, noting that there was a backup of planes because of the high traffic volumes on the ground at the airport, meaning passengers could not disembark. “We’ve had some complaints where aircraft will arrive and get stuck on the apron for a period of time,” he said, adding the ground delays are because there has not been enough airline staff to marshal and park aircraft.  The county, which operates the airport, has been leasing to the airlines on a month-to-month basis but is seeking the three-year leases, which include a two-year option. Bartholomew’s memo to the BOCC said the lease agreements “can be advantageous when seeking investments from bondholders, and their rating agencies” as plans for the airport’s potential redevelopment of its passenger terminal and infrastructure. “While Airports can legally operate without formal lease agreements, such agreements offer the sponsor greater assurances of both financial sustainability and space/asset management. Such an agreement offers longer term financial stability, better asset stewardship, and opportunities for ongoing and future facility capital investment,” the memo said. If approved, the leases will take effect in Oct. 1. Lease payments in 2022 include $98.13 per square foot for use of interior terminal passenger facilities during the down seasons and $137.39 per square foot during the high season. Exterior rates are $32.71 during the offseason and $45.79 during the busy season, according to county documents.Other fees are attached to airlines’ use of share spaces, along with landing fees that are computed at a rate ranging from $8.24 to $11.53 per thousand pounds of maximum allowable, gross-landing weight of an aircraft. ",12.07.2022,Rick Carroll,https://www.aspentimes.com/news/airlines-balk-at-county-leases-better-service-clause/
‘Aspen Pledge’ updated to reflect diversity and differences,[],"The “Aspen Pledge,” created by the Aspen Chamber Resort Association as a playful set of do’s-and-don’t commandments for visitors, has been amended “to be more inclusive and welcoming and to represent current resident sentiment and the community’s values,” ACRA announced Tuesday. The Aspen Pledge now goes like this:“Whether Aspen is my home sweet home, or my home away from home:I will explore responsibly.I will prepare for any experience.I will find adventure, but not venture off the marked trails.I will carve the snow and not the trees.I will get lost in my thoughts, but not in the woods.I will remain in one piece by leaving the wildlife in peace.I will go sightseeing, while leaving the sites worth seeing.I will travel by foot, bike, or bus when I can, and drive carefully when I cannot.I will honor the history and heritage of those who were here before me and preserve the land for those who come after me.I will accept our differences and celebrate our diversity.I will be kind to community members of every kind.I pledge to take care of this little place called Aspen.”Started in 2018, the pledge is under the umbrella of ACRA’s “How To” campaign and other responsible tourism initiatives, and the new version is in line with the goals of the , according to ACRA.The Aspen Pledge can be found online at  . ACRA will be making a donation of $18.80 for each pledge signed, which honors the year Aspen was incorporated, 1880. Those signing the pledge can choose between the  and  as the beneficiary organization.",13.07.2022,Staff Report,https://www.aspentimes.com/news/aspen-pledge-updated-to-reflect-diversity-and-differences/
Aspen officials hire PR firm for entrance public education effort,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2020/08/nonresidents-atd-083120-1-1024x466.jpg'],"Aspen City Council on Tuesday approved a contract for nearly $89,000 that is part of a public education campaign about the past, present and future of the Entrance to Aspen.The contract with Darnauer-Manifest Communications includes $58,950 for the base scope of work and $29,539 for additional services for radio and social media support.Recognizing that there has not been public dialogue around the Entrance to Aspen for almost two decades, council last year agreed to earmark $150,000 for a community education campaign about the record of decision rendered in 1998 by the Colorado Department of Transportation and the Federal Highway Administration.After years of analysis, public debate and policy work, the record of decision’s preferred alternative identifies the Entrance to Aspen as a two-lane parkway that goes under the Marolt-Thomas Open Space via a cut-and-cover tunnel that has a transit component including a light rail system and ends up on Seventh and Main streets leading to Rubey Park.The  is to create a shared understanding in the community of what the Entrance to Aspen project is, which elements of it have already been implemented and what the challenges are ahead, according to City Engineer Trish Aragon and Assistant City Manager Diane Foster.While the preferred alternative has laid dormant due to negating public votes and conflicting political wills, the record of decision was revisited in 2007, but there was no consensus in the community to carry it forward.Councilwoman Rachel Richards said that she, like many residents, has been concerned about growing traffic congestion, especially in the West End neighborhood which is used as an alternative to Main Street in the afternoon rush hour.“I greatly appreciate council’s support of $150,000 to basically bring the record of decision on the entrance to Highway 82 up to modern standards,” she said. “We will have the information digitized and online and be able to reintroduce this to the so many people who are new to our community.”The public education effort will include an Entrance to Aspen website and document library, a print campaign, a community survey and polling, open houses and videos appearing on GrassRoots TV.There are three components to the project, including technical analysis, video production services and community education.The technical analysis is estimated to cost $24,957. The city has a contract with HNTP Corp. for this portion of the work, which is to obtain clarity around the current state of the record of decision, engage with CDOT, and do a risk analysis of opening the record of decision and potential funding of a future solution.Within the existing budget, $29,280 is being utilized to develop two videos. One will be a long-form informative video that is approximately four to six minutes in length and describes the project in depth.A second short-form version is envisioned to be no longer than 90 seconds and is a concise summary of the project, which will be formatted for social media use.The videos are intended to educate and inform Aspen residents and the public about the proposed improvements to the Entrance to Aspen, the record of decision and project development.The third component, which is the $88,489 contract with Darnauer-Manifest Communications, includes updating the website and document library, a print and social media education campaign, open houses, media support and polling at the end of the public education process.City officials are interested in resurrecting the Entrance to Aspen conversation not only to educate new residents and refamiliarize longtime Aspenites, but also to address traffic coming in and out of town and replacing an aging Castle Creek Bridge.The 60-year-old bridge also acts as the emergency egress that is critical for both mass evacuation and first responders’ access to the hospital.Richards said now is the time to act on federal infrastructure money becoming available for local governments and agencies.“I think if we miss this window, we will be living with an old bridge that has maybe 20 years of useful life and be struggling to figure out how to manage it if it gets weight restricted or if it fails before we have a new bridge in place,” she said.",13.07.2022,Carolyn Sackariason,https://www.aspentimes.com/news/aspen-officials-hire-pr-firm-for-entrance-public-education-effort/
Latest round of Snowmass Village community survey in the works,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2022/07/townhall-svs-1024x683.jpeg'],"This year’s version of the Snowmass Village community survey, for the most part, will look a lot like the previous ones, according to Assistant Town Manager Greg LeBlanc.The proposed questions for the 2022 survey are “more or less” the same as the questions from the 2019 survey, and the town intends to use the same firm that conducted the last two iterations in 2017 and 2019, LeBlanc said during a July 11 Town Council work session. The overall goal is to collect similar data each time the survey goes out so the town can look at trends over the course of multiple surveys, LeBlanc said. The town usually conducts the survey every couple of years to take the pulse on community sentiments about town services and priorities. The newest iteration is slated to go out later this year.“It’ll be interesting to see what we get back as it always is, but I think we’re a pretty good place to send that out with the comments that have been suggested,” Mayor Bill Madsen said at the meeting. A side-by-side comparison of the 2019 and 2022 surveys shows that people who participated last time will see some changes, including several new questions. The draft 2022 survey has added a question about the short-term rental of single-family homes, and whether it’s “good for the community,” “just right” or “not good for the community.” Councilman Tom Fridstein asked for a bit more clarity on what aspect of the rentals — having them, allowing them or the amount of them, for instance — is subject to input, so the wording of the question might be workshopped a bit. The question in the community survey is separate from the current open feedback form for people to provide input on a short-term rental permit system and possible regulations.Another addition asks about the preservation of some town characteristics: “If you could keep one thing the same in Snowmass Village forever, what would it be?”There also are new questions about satisfaction with town recreation programs and about what factors prevent people from using the Village Shuttle. Unlike the 2019 iteration, this year’s draft survey doesn’t include a question about the current amount of public art on display in the town.Before LeBlanc sent the survey draft to council, he gathered feedback from department directors that helped inform the way the survey is set up this year, LeBlanc said. Some questions were “refined to reflect the current environment,” and questions were ordered to “keep like items together” in categories set up by department, he said. The 2022 survey has about four dozen questions, which is on par with 2019; there were a little more than three dozen questions in 2017. Amid an inundation of surveys everywhere, though, Councilman Tom Goode suggested erring on the side of brevity to encourage more participation. “I don’t think we’re going to get everybody back, because people don’t want to take the time to do a survey. … Everywhere you go, whether it’s a restaurant, or hotel, everybody wants a survey: ‘How did we do for you?” Goode said.Survey-takers will get the chance to opt out of questions if they don’t want to answer them, LeBlanc said. They’ll also have the chance to provide open-ended feedback at the end of most sections.",13.07.2022,Kaya Williams,https://www.aspentimes.com/news/latest-round-of-snowmass-village-community-survey-in-the-works/
Town Park by the numbers: plans show how rodeo layout will change,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2022/06/EDLrodeo-atd-062322-1-1024x819.jpg'],"The Snowmass Rodeo grounds will indeed be getting bigger with the proposed revamp of Town Park in Snowmass Village, pending review and approval from the town’s Planning Commission and Town Council. But side-by-side plans for the current and revamped layouts show that through the overall grounds — not counting parking — are growing, the way the space is distributed on the grounds is changing. That would yield a smaller arena for competition and more space for spectators. Contestant parking is also shrinking substantially. Connect One Design’s Sara Tie showed the  to town officials as part of a presentation for the Planning Commission on June 29 and also included the materials in a packet for a presentation to the Town Council on July 5 during an owner’s review of the Town Park redesign project. The Planning Commission will enter its third consecutive meeting of special review for the Town Park project Wednesday night, where commissioners will continue to evaluate whether the plans meet specific land use criteria. The Town Council is tentatively scheduled to conduct a regulatory public hearing on that front on July 18, according to a ; the town is also the owner of the project and has been reviewing overall design in owner’s review discussions.The footprint for the rodeo arena, the spectator areas and the pens, chutes and operations areas is 82,181 feet. The proposed footprint for those same areas is 85,118 square feet, according to the plans. The space will be redistributed a bit among the arena, spectator and operations zones, though. The arena for competition will be narrower and longer, with a smaller footprint overall. It currently covers 30,642 square feet and will shrink to 29,143 square feet with the new design. It’s currently about 226 feet, 7 inches long and about 136 feet, 10 inches wide at its longest and widest points, with a somewhat lopsided rectangle shape with rounded corners.The plans for the future rodeo shows a layout that’s 235 feet, 5 inches long and 130 feet wide at the longest and widest points, with an evened-out shape that looks like a rectangle with the corners cut off. The pens, chutes and operations areas will be getting slightly bigger. The current footprint is 24,026 square feet; the proposed footprint is 24,732 square feet.The spectator areas, which would consolidate all seating to one side of the rodeo, gain the lion’s share of the square footage. The current footprint is 27,513 square feet; that would grow to 31,243 square feet with the Town Park revamp. But the footprint for contestant parking is going to get a lot smaller, with the square footage shrinking by about 38%. Currently, there are 68,773 square feet of space where contestants can park their trucks and trailers and unload animals and competitors for the rodeo. That’s enough to fit 37 trucks and trailers on the dirt lot next to the arena, plus five more at the “Checkpoint Charlie” pullout off of Brush Creek Road, according to the plans. The proposed plans show 42,327 square feet of contestant parking, enough to fit 32 trucks and trailers in a reoriented paved parking lot, plus five more at Checkpoint Charlie, according to the plans. That’s a 13.5% decrease in the number of trucks that can park in the main lot. Andy Worline, the town’s parks, recreation and trails director, said in an interview the discrepancy between that number and the 38% decrease in square footage is based on parking the trucks and trailers in a more “efficient” way. The truck and trailer calculation is based on assumptions that the trucks are 20 feet long, pulling 27-foot-long gooseneck trailers, and that the rigs are at least 15 feet apart side-to-side and 14 feet apart bumper-to-bumper. (A  from the Roaring Fork Horse Council, a nonprofit committed to equestrian issues in the valley, recommends that there “must be” 18 feet between trucks and trailers side by side to create adequate space for horses.)Worline said there’s a “possibility” that there could be more parking at Checkpoint Charlie, but that’s not a guarantee. The horse council has also expressed concerns about the impact of the hard paved surface on the animals who compete in the rodeo. There is no designated soft-surface warm-up area in the current rodeo layout, nor is there one included in the future rodeo plans. The “flex lawn” area north of the rodeo is smaller, for one thing. Previous plans showed a lawn big enough to fit two soccer fields that could each accommodate U11 youth soccer teams; it would have covered about 57,000 square feet, Worline said. The lawn could be used for other sports, too; the U11 fields are just a point of reference for size. With the updated plans, the proposed lawn will eventually be about 47,000 square feet, which could still fit one U11 soccer field or several other recreation spaces, Worline said in the interview. It won’t reach that full size until some playground equipment is removed, though. The playground removal — plus some tree removal, revision of a path and full regrading of the field to the edge of the wetlands — isn’t part of the scope of phase one of the project right now. And eventually, a playground would pop up again, just on the other side of the park, Worline and Tie said at the July 5 council meeting. The field would still “roughly double” the size of the existing lawn there, according to Tie, and it could still be set up as two smaller sports fields side by side, Worline said.That adjustment allows the rodeo grounds to shift about 10 feet further north than previously planned, according to Tie and Worline. The distance from the south end to the north end of the grounds won’t be getting bigger, though: “It’s almost like you took the puzzle piece and moved it up,” Worline said in an interview.The updated plans do show more space for attendee circulation on one side of the arena, with  17 feet, 10 inches between the grandstands (planned to be all on one side of the grounds) and the arena fence. The current rodeo, which has stands on both sides of the arena, varies in circulation space: A map shows that it’s 8 feet, 2 inches between the bleachers and the fence at the narrowest spot and 14 feet at the widest spot, depending on where people are walking. ",13.07.2022,Kaya Williams,https://www.aspentimes.com/news/town-park-by-the-numbers/
Willoughby: Goose gossip,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2022/07/willoughby-atd-071022.jpeg'],"My father spent many days and nights in Queens Gulch at the Midnight Mine camp. He enjoyed its location, especially the abundance of wildlife. He passed on this memory.It was late in October 1933. There had been a couple of light snowstorms that fall but the snow had melted. Father was outside, while most of the employees were either in the tunnel or working inside in the mill. Sensitive to even small changes in weather at that altitude, 9,500 feet, he could sense a major change in the air. The camp did not have a barometer, but he concluded, from experience, it was a change to lower air pressure.Around 4 in the afternoon there was a loud noise overhead. A sizable flock of wild geese were flying fast and honking like they were excited about something. They were flying in formation heading east. Queens Gulch is narrow, so the view of them was short as they flew out of sight quickly. Father concluded a storm might be coming as most storms came from the southwest and the geese were flying away from its path.Others who were outside and witnessed the geese chimed in agreeing that a storm was coming, and the storm grew larger to the point where they speculated on the camp being buried in snow.The goose gossip went on and on until the evening meal. Good grub silenced the discussion for a while as they couldn’t swallow and talk goose at the same time. After dinner, Father phoned town to check barometer readings and was told it was reaching very low local levels. Father bunked with a Swedish miner named Carl in one of the camp’s cabins. Carl recalled that in the “old country” when geese honked like that, Swedes would stoke their fires with 10 times the usual firewood.Father did not sleep well that night thinking about the goose omen. He remembered the winter of 1932 when the camp gulch was attacked by snowslides so bad that it closed the camp road for two weeks. Poles and telephone lines were also destroyed, a costly expense to repair in those Depression days. He fell asleep dreaming of deep deep snow.He awoke the next morning to a colder day than the previous day, but the sky was clear. There had, however, been a snowstorm, but only 3 inches lay on the ground. There was no goose convention at the breakfast table.Not only was there little snow that night, but little for the whole winter. There was so little the teamsters that hauled food and materials to the camp and ore out had difficulty with their sleds. In late March there was about 2 feet of snow measured in the camp. A normal winter would show about 6 feet or more. There was even less in town. Kobey’s clothing store was stuck at the end of the year with an overstock of overshoes.We have NOAA and the National Weather Service to inform us today, but wouldn’t it be more fun to pay attention to goose omens?",10.07.2022,,https://www.aspentimes.com/news/willoughby-goose-gossip/
City of Aspen’s plans for new employee housing shelved since pandemic began,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2022/06/download.png'],"The city of Aspen’s plan to build nearly 50 units near the water treatment plant on Doolittle Drive above the hospital has been shelved indefinitely.The city already spent almost $1 million in creating a site plan, architectural designs and construction drawings, along with feasibility studies and neighborhood outreach for Water Place Housing Phase II.Those  when Aspen City Council approved contracts with architectural firms 359 Design and Roland + Broughton, along with Concept One Group as construction manager and advisor, to do the preliminary work on the project.“Over a period of years the design team has gotten deeper into the details with geotechnical work, site plans and traffic studies,” said Scott Miller, the city’s public works director.A draft conceptual site plan was presented to council in spring 2020, but then work stopped when the pandemic hit.At the time, City Manager Sara Ott told council that there wasn’t enough capacity for staff to continue with the project as the municipal government had to shift into response and recovery mode with the onset of COVID-19.“I recall very clearly Sara saying we have too much going on and there was no capacity to move it forward,” said Councilwoman Rachel Richards.Now the issue is that the fund that would pay for it doesn’t have enough money available for what could be a $50 million project, with construction and labor costs being so high, according to Miller.The 505 fund, which pays specifically for city employee housing and is funded in part by each department in the municipal government paying into it annually, is forecasted to have $3.45 million in it by the end of the year and $14 million in 2027. a certain percentage of its budget into the 505 fund every year. It grows about $2 million annually. The fund balance typically is between $3 million and $4 million.That’s clearly not enough to cover the $1 million per unit needed to build deed-restricted housing in the Aspen area.“In each budget deliberation, it comes up at least once,” Miller said, adding the city is always “trying to  as we can.”The city last month entered into  for two condos in Snowmass Village and at the Airport Business Center to add to its roughly 60 units dedicated to employee housing for its employees.The plan in 2018 and 2019 was to  near the Thomas Reservoir on a parcel in the Water Place development where the city has about two dozen homes for employees already.“We did make a presentation about density and then postponed the project, but the high-level conceptual work is done, and we could go back to council with some options to develop it with much less density,” said Rob Schober, the city’s capital asset director.Water Place was constructed in 1998 by the city on land it owns, and the parcel considered for development is located to the north of the water facilities property in challenging terrain.“I’ve always wondered if there are better opportunities than that location,” Richards said. “But I absolutely support moving forward with the concept.”Most of the employees who live in Water Place are considered essential workers, including police officers, first responders and utility personnel.Miller said the city’s long-range goal is to house 60% of its workforce, which is roughly 320 employees.“The project is on hold but on the horizon,” he said.",11.07.2022,Carolyn Sackariason,https://www.aspentimes.com/news/city-of-aspens-plans-for-new-employee-housing-shelved-since-pandemic-began/
Aspen officials busy filling voids in organization’s top positions,['https://cdn.aspentimes.com/wp-content/uploads/sites/5/2022/07/Citylogo-atd-050518.jpeg'],"City of Aspen administrators are in the process of recruiting six department heads, which is proving challenging amid a housing and labor shortage.The exodus of that many directors leaving their helms is a result of retirements and resignations in the past few months.Leadership is needed in IT, golf and the building, recreation, child care and police departments.Assistant City Manager Diane Foster said the municipal government is close in hiring a manager for the golf and IT departments, with interviews for finalists scheduled this week.Like most local employers, the city is having difficulty finding candidates who are willing to relocate and pay exorbitant housing costs in the Roaring Fork Valley.Foster said of the eight people who interviewed for the golf manager position, two dropped out because of housing.The issue is one of the first topics of discussion in the interview process.“Just as a matter of course, we now talk to every candidate about housing,” Foster said. “We have to have those conversations.”The city has close to 60 housing units for municipal workers, and most of them are occupied with current employees.“There are times where we have interim housing available,” Foster said, noting that a recently hired housing policy analyst for the Aspen-Pitkin County Housing Authority will live in a Marolt Ranch apartment but only until January, because it’s seasonal and is set aside for Aspen Skiing Co. employees.The city is holding a housing unit open for the future IT director, Foster said.“We decide (through policy) on who gets temporary or permanent housing opportunities based on position,” she said. “Cops are super-high priority.”There is no available housing for the future golf manager or director of Kids First, the latter of which is a department that manages the city’s taxpayer-funded child care program.That may change depending on timing of the hires, and there could be temporary housing available, which is typically six months.“If you can give people a head start, it is really helpful,” Foster said.City administrators are not only interviewing finalists for the IT and golf positions this week but also conducting screening interviews for candidates for a recreation manager, who oversees the Aspen Recreation Center and rec programs.Two of the bigger shoes to fill are that of Kids First Director Shirley Ritter and Aspen Police Chief Richard Pryor, both of whom recently announced their retirements after decades on the job.The city plans to hire a recruiter to find the next police chief and will look at proposals from firms this week, according to Alissa Farrell, the city’s administrative services director.The city has not finalized its recruitment plan for the Kids First director but hopes to do so in the coming weeks.City officials hope to have someone hired for Kids First by this fall and Pryor’s replacement in place by the time he steps down in December.Screening interviews have been completed for the chief building official position, which has been held for decades by Stephen Kanipe. Finalists will be determined shortly, according to Courtney DeVito, the city’s director of human resources.There have been other movements within departments in the past couple of years with some longtime employees retiring, and the city has had to pivot to fill those voids.“It’s all about workforce planning,” Farrell said. “It doesn’t even have to be in the same department, you are looking at citywide skills and bringing staff over to other departments. …“We are continuing to look at the legacy of these long-term directors and their accomplishments and then where do we move forward and how do we make enhancements and improvements for the community and for the betterment of the organization?”The city recently restructured the parking and transportation departments as both of its directors left last year, promoting from within and changing job responsibilities.“There was an opportunity to reassess and look at some synergies between the departments,” Farrell said.Foster said it makes sense for the parking and transportation departments to be combined.“It was really intentional that those are areas that should be aligned or coordinated,” she said.Foster, who came into the organization in 2020, has had her fill of filling vacancies with the abrupt resignations of the directors of the Wheeler Opera House and APCHA just months before and after she took the job.It took a year to fill those vacancies with the help of recruiting firms, and current staff and Foster had to step in to do the work and continue the programs in those departments during the void.Foster also had to, within months of her hiring, address the retirement of Jeff Woods, the longtime manager of parks and recreation, which was filled by Austin Weiss, the city’s former parks and open space director.Foster said looking for talent within the organization is key.“People development is a big thing for me,” she said. “Private sector companies that make stuff spend about 30% of their operating budget on people, and organizations like local government, 80% of our operating costs are people.”",12.07.2022,Carolyn Sackariason,https://www.aspentimes.com/news/aspen-officials-busy-filling-voids-in-organizations-top-positions/
